Food,Calories,Utility,Carbohydrate,Fat,Protein,Category,Links,Embedded Links
Aam ras(1 cup)+Puri(3),1074,60,225,15.3,12,Veg,https://www.youtube.com/watch?v=XpD5ssKN4Y4&pp=ygUMYWFtIHJhcyBwdXJp,"<iframe  src=""https://www.youtube.com/embed/XpD5ssKN4Y4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Alfredo Pasta,855,90,61.5,64.5,24,Veg,https://www.youtube.com/watch?v=9n5z0LTGII4&pp=ygUNYWxmcmVkbyBwYXN0YQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/9n5z0LTGII4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Batata poha(200gms),297,50,37.5,7.5,4.5,Veg,https://www.youtube.com/watch?v=92D8P1mamrQ&pp=ygULYmF0YXRhIHBvaGE%3D,"<iframe  src=""https://www.youtube.com/embed/92D8P1mamrQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
bhajra rotla + baingan bharta(132gm),378,80,40.35,19.2,6.3,Veg,https://www.youtube.com/watch?v=50YXoOcuJgI&pp=ygUhYmFqcmEgcm90aSB3aXRoIGJhaW5nYW4ga2EgYmhhcnRh,"<iframe  src=""https://www.youtube.com/embed/50YXoOcuJgI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Biryani,244.5,50,19.95,11.55,14.25,Veg,https://www.youtube.com/watch?v=95BCU1n268w&pp=ygUOYmlyeWFuaSByZWNpcGU%3D,"<iframe  src=""https://www.youtube.com/embed/95BCU1n268w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Bisi bele bath - 1 cup,450,40,63,18,13.5,Veg,https://www.youtube.com/watch?v=VEArdyBWvdw&pp=ygUNYmlzaSBiZWwgYmF0aA%3D%3D,"<iframe  src=""https://www.youtube.com/embed/VEArdyBWvdw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Burrito,450,30,39,24,18,Veg,https://www.youtube.com/watch?v=9Xo7F74WDa4&pp=ygUHYnVycml0bw%3D%3D,"<iframe  src=""https://www.youtube.com/embed/9Xo7F74WDa4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Cereal,285,100,115.5,18,16.5,Veg,https://www.youtube.com/watch?v=PfxYGY5QsWg&pp=ygUOY2VyZWFsIHJlY2lwZVw%3D,"<iframe  src=""https://www.youtube.com/embed/PfxYGY5QsWg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
chickpea curry(1 bowl),966,50,144,24,42,Veg,https://www.youtube.com/watch?v=5bsvxIDkm4g&pp=ygUPY2hpY2hwZWEgIGN1cnJ5,"<iframe  src=""https://www.youtube.com/embed/5bsvxIDkm4g"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"chickpea, zuchini and mushroom stew",538.5,40,82.5,14.25,25.8,Veg,https://www.youtube.com/watch?v=2x5yE2y2meU&pp=ygUgY2hpY2sgcGVhIHp1Y2hpbmkgbXVzaHJvb20gY3Vycnk%3D,"<iframe  src=""https://www.youtube.com/embed/2x5yE2y2meU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
